,TITLE,ACCEPTED
396,Multi-center validation of machine learning model for preoperative prediction of postoperative mortality,YES
397,Machine learning-based quantitative prediction of drug exposure in drug-drug interactions using drug label information,YES
398,"Construction of machine learning tools to predict threatened miscarriage in the first trimester based on AEA, progesterone and β-hCG in China: a multicentre, observational, case-control study",YES
399,Machine learning prediction of postoperative major adverse cardiovascular events in geriatric patients: a prospective cohort study,YES
400,Ensemble learning using traditional machine learning and deep neural network for diagnosis of Alzheimer's disease,YES
401,Artificial Intelligence and Cardiovascular Magnetic Resonance Imaging in Myocardial Infarction Patients,YES
402,Classifying COVID-19 Variants Based on Genetic Sequences Using Deep Learning Models,YES
403,Deep Learning Prediction Model for Heart Disease for Elderly Patients,YES
404,Artificial Neural Network Method for Appraising the Nephrotic Disease,YES
405,Machine learning-based 3D modeling and volumetry of human posterior vitreous cavity of optical coherence tomographic images,YES
406,Binary dose level classification of tumour microvascular response to radiotherapy using artificial intelligence analysis of optical coherence tomography images,YES
407,Personalized survival probabilities for SARS-CoV-2 positive patients by explainable machine learning,YES
408,Identification of key candidate genes for IgA nephropathy using machine learning and statistics based bioinformatics models,YES
409,Breast cancer patient characterisation and visualisation using deep learning and fisher information networks,YES
410,Blood glucose prediction based on imagingphotoplethysmography in combination with Machine learning,YES
411,Microscopic image analysis in breast cancer detection using ensemble deep learning architectures integrated with web of things,YES
412,Automated Intelligent Hematology Classification System Using Image Processing and Neural Networks,YES
413,Developing machine learning-based models to predict intrauterine insemination (IUI) success by address modeling challenges in imbalanced data and providing modification solutions for them,YES
414,Can cognition help predict suicide risk in patients with major depressive disorder? A machine learning study,YES
415,Opening the black box: interpretable machine learning for predictor finding of metabolic syndrome,YES
416,Deep learning-based patient re-identification is able to exploit the biometric nature of medical chest X-ray data,YES
417,A prediction model for worsening diabetic retinopathy after panretinal photocoagulation,YES
418,A comparison of deep learning U-Net architectures for posterior segment OCT retinal layer segmentation,YES
419,Integrating Machine Learning and Sensors for the Development of Organ-on-Chip Platforms for Medical Diagnosis,YES
420,Game Theory-Based Dynamic Weighted Ensemble for Retinal Disease Classification,YES
421,Breast Cancer Detection from Histology Images Using Deep Feature Selection,YES
422,Machine learning model from a Spanish cohort for prediction of SARS-COV-2 mortality risk and critical patients,YES
423,Fusion of fully integrated analog machine learning classifier with electronic medical records for real-time prediction of sepsis onset,YES
424,Trend clustering from COVID-19 tweets using graphical lasso-guided iterative principal component analysis,YES
425,"Prediction of metabolic and pre-metabolic syndromes using machine learning models with anthropometric, lifestyle, and biochemical factors from a middle-aged population in Korea",YES
426,Training and clinical testing of artificial intelligence derived right atrial cardiovascular magnetic resonance measurements,YES
427,Accurate auto-labeling of chest X-ray images based on quantitative similarity to an explainable AI model,YES
428,Multi-modality machine learning predicting Parkinson’s disease,YES
429,Feature extraction from MRI ADC images for brain tumor classification using machine learning techniques,YES
430,Effective deep learning for oral exfoliative cytology classification,YES
431,Tasks for artificial intelligence in prostate MRI,YES
432,Reciprocal perspective as a super learner improves drug-target interaction prediction (MUSDTI),YES
433,A Review on Proteomic Function Prediction in Pathogenic Bacterial Organism Using Machine Learning,YES
434,Stacked Gated Recurrent Unit Classifier with CT Images for Liver Cancer Classification,YES
435,Diabetic Retinopathy Diagnosis Using Interval Neutrosophic Segmentation with Deep Learning Model,YES
436,A Machine Learning Approach to Predict SEER Cancer,YES
437,Combining the neural mass model and Hodgkin–Huxley formalism: Neuronal dynamics modelling,YES
438,Breast cancer classification by a new approach to assessing deep neural network-based uncertainty quantification methods,YES
439,Identification of immune-related key genes in the peripheral blood of ischaemic stroke patients using a weighted gene coexpression network analysis and machine learning,YES
440,A benchmark study of deep learning-based multi-omics data fusion methods for cancer,YES
441,Cancer-Net SCa: tailored deep neural network designs for detection of skin cancer from dermoscopy images,YES
442,Constrained Fourier estimation of short-term time-series gene expression data reduces noise and improves clustering and gene regulatory network predictions,YES
443,Influencing Factors and Clustering Characteristics of COVID-19: A Global Analysis,YES
444,Machine learning-based prediction of relapse in rheumatoid arthritis patients using data on ultrasound examination and blood test,YES
445,A deep learning approach identifies new ECG features in congenital long QT syndrome,YES
446,Internal validation and comparison of predictive models to determine success rate of infertility treatments: a retrospective study of 2485 cycles,YES
447,A Multi-Branch Convolutional Neural Network for Screening and Staging of Diabetic Retinopathy Based on Wide-Field Optical Coherence Tomography Angiography,YES
448,scSemiAE: a deep model with semi-supervised learning for single-cell transcriptomics,YES
449,Machine learning-based model for prediction of clinical deterioration in hospitalized patients by COVID 19,YES
450,A novel approach to predicting the synergy of anti-cancer drug combinations using document-based feature extraction,YES
451,MFDNN: multi-channel feature deep neural network algorithm to identify COVID19 chest X-ray images,YES
452,Machine learning for medical imaging: methodological failures and recommendations for the future,YES
453,Identification of osteoporosis using ensemble deep learning model with panoramic radiographs and clinical covariates,YES
454,Quantitative digital histopathology and machine learning to predict pathological complete response to chemotherapy in breast cancer patients using pre-treatment tumor biopsies,YES
455,Deep neural network trained on gigapixel images improves lymph node metastasis detection in clinical settings,YES
456,Phonemes based detection of parkinson’s disease for telehealth applications,YES
457,A deep learning-based self-adapting ensemble method for segmentation in gynecological brachytherapy,YES
458,Diagnostic model based on bioinformatics and machine learning to distinguish Kawasaki disease using multiple datasets,YES
459,An updated systematic review of radiomics in osteosarcoma: utilizing CLAIM to adapt the increasing trend of deep learning application in radiomics,YES
460,Controlling gene expression with deep generative design of regulatory DNA,YES
461,Machine learning-based prediction of fainting during blood donations using donor properties and weather data as features,YES
462,"Author Correction: A novel AI device for real-time optical characterization of colorectal polyps (npj Digital Medicine, (2022), 5, 1, (84), 10.1038/s41746-022-00633-6)",YES
463,A multitask deep learning approach for pulmonary embolism detection and identification,YES
464,Helicobacter pylori (H. pylori) risk factor analysis and prevalence prediction: a machine learning-based approach,YES
465,Stochastic models of Mendelian and reverse transcriptional inheritance in state-structured cancer populations,YES
466,Deep learning based on ultrasound images assists breast lesion diagnosis in China: a multicenter diagnostic study,YES
467,Deep learning-based lesion subtyping and prediction of clinical outcomes in COVID-19 pneumonia using chest CT,YES
468,An artificial intelligence-based risk prediction model of myocardial infarction,YES
469,Radiomic Features Based Severity Prediction in Dementia MR Images Using Hybrid SSA-PSO Optimizer and Multi-class SVM Classifier,YES
470,Testing the applicability and performance of Auto ML for potential applications in diagnostic neuroradiology,YES
471,Deep learning methods to predict amyotrophic lateral sclerosis disease progression,YES
