,TITLE,ACCEPTED
215,Multisite implementation of a workflow-integrated machine learning system to optimize COVID-19 hospital admission decisions,YES
216,Examining the COVID-19 case growth rate due to visitor vs. local mobility in the United States using machine learning,YES
217,Machine learning-coupled combinatorial mutagenesis enables resource-efficient engineering of CRISPR-Cas9 genome editor activities,YES
218,Implementation of a machine learning application in preoperative risk assessment for hip repair surgery,YES
219,Machine learning to predict no reflow and in-hospital mortality in patients with ST-segment elevation myocardial infarction that underwent primary percutaneous coronary intervention,YES
220,A Bayesian framework to integrate multi-level genome-scale data for Autism risk gene prioritization,YES
221,Leveraging explainable machine learning to identify gait biomechanical parameters associated with anterior cruciate ligament injury,YES
222,Learning to predict in-hospital mortality risk in the intensive care unit with attention-based temporal convolution network,YES
223,Early Skin Disease Identification Using Deep Neural Network,YES
224,Machine Learning Analysis in the Prediction of Diabetes Mellitus: A Systematic Review of the Literature,YES
225,Medical X-Ray Image Classification Employing DCGAN and CNN Transfer Learning Techniques,YES
226,Forecasting and classification of new cases of COVID 19 before vaccination using decision trees and Gaussian mixture model,YES
227,An efficient R-Transformer network with dual encoders for brain glioma segmentation in MR images,YES
228,DPAFNet: A Residual Dual-Path Attention-Fusion Convolutional Neural Network for Multimodal Brain Tumor Segmentation,YES
229,Artificial intelligence to differentiate asthma from COPD in medico-administrative databases,YES
230,Multiclass classification of breast cancer histopathology images using multilevel features of deep convolutional neural network,YES
231,Prediction of visual function from automatically quantified optical coherence tomography biomarkers in patients with geographic atrophy using machine learning,YES
232,A machine learning COVID-19 mass screening based on symptoms and a simple olfactory test,YES
233,Terrestrial health applications of visual assessment technology and machine learning in spaceflight associated neuro-ocular syndrome,YES
234,Determining the origin of different variants associated with familial mediterranean fever by machine-learning,YES
235,A tool for predicting overall survival in patients with Ewing sarcoma: a multicenter retrospective study,YES
236,LTPConstraint: a transfer learning based end-to-end method for RNA secondary structure prediction,YES
237,Automated model-predictive design of synthetic promoters to control transcriptional profiles in bacteria,YES
238,A machine learning analysis of COVID-19 mental health data,YES
239,Experimental evidence of effective human–AI collaboration in medical decision-making,YES
240,A warning system for urolithiasis via retrograde intrarenal surgery using machine learning: an experimental study,YES
241,Variant-driven early warning via unsupervised machine learning analysis of spike protein mutations for COVID-19,YES
242,Artificial neural networks enable genome-scale simulations of intracellular signaling,YES
243,Machine learning-based tissue of origin classification for cancer of unknown primary diagnostics using genome-wide mutation features,YES
244,Single nucleotide polymorphism genes and mitochondrial DNA haplogroups as biomarkers for early prediction of knee osteoarthritis structural progressors: use of supervised machine learning classifiers,YES
245,Multimodal combination of neuroimaging methods for localizing the epileptogenic zone in MR-negative epilepsy,YES
246,"Rapid, label-free and low-cost diagnostic kit for COVID-19 based on liquid crystals and machine learning",YES
247,Automated Machine Learning-Based Gestational Monitoring Framework in Wearable Internet of Things Environment,YES
248,AI-Based Interactive Agent for Health Care Using NLP and Deep Learning,YES
249,Use data augmentation for a deep learning classification model with chest X-ray clinical imaging featuring coal workers' pneumoconiosis,YES
250,Analyzing patient experiences using natural language processing: development and validation of the artificial intelligence patient reported experience measure (AI-PREM),YES
251,Infant birth weight estimation and low birth weight classification in United Arab Emirates using machine learning algorithms,YES
252,Development of artificial neural networks for early prediction of intestinal perforation in preterm infants,YES
253,External validation of a machine learning model to predict hemodynamic instability in intensive care unit,YES
254,Design of an Automatic Monitoring Model for Real-Time Data Flow in Network Based on Fuzzy Clustering Analysis for Health Analysis,YES
255,Relating SARS-CoV-2 variants using cellular automata imaging,YES
256,Automated gathering of real-world data from online patient forums can complement pharmacovigilance for rare cancers,YES
257,An interpretable machine learning approach to identify mechanism of action of antibiotics,YES
258,Usability of deep learning and H&amp;E images predict disease outcome-emerging tool to optimize clinical trials,YES
259,rs-fMRI and machine learning for ASD diagnosis: a systematic review and meta-analysis,YES
260,Novel computer aided diagnostic models on multimodality medical images to differentiate well differentiated liposarcomas from lipomas approached by deep learning methods,YES
261,Assessment of right ventricular size and function from cardiovascular magnetic resonance images using artificial intelligence,YES
262,Evaluation of the effects of meteorological factors on COVID-19 prevalence by the distributed lag nonlinear model,YES
263,Field evaluation of the diagnostic performance of EasyScan GO: a digital malaria microscopy device based on machine-learning,YES
264,Assessment of the predictive potential of cognitive scores from retinal images and retinal fundus metadata via deep learning using the CLSA database,YES
265,Explainable AI for CNN-based prostate tumor segmentation in multi-parametric MRI correlated to whole mount histopathology,YES
266,Speech processing for early Parkinson’s disease diagnosis: machine learning and deep learning-based approach,YES
267,Practical application of a Bayesian network approach to poultry epigenetics and stress,YES
268,Automated image curation in diabetic retinopathy screening using deep learning,YES
269,Importance score of SARS-CoV-2 genome predicts the death risk of COVID-19,YES
270,An artificial intelligence algorithm is highly accurate for detecting endoscopic features of eosinophilic esophagitis,YES
271,Assessment of deep learning and transfer learning for cancer prediction based on gene expression data,YES
272,Achievements of Artificial Intelligence in the Past and During the COVID-19 Era to Tackle Deadly Diseases,YES
273,Estimating the course of the COVID-19 pandemic in Germany via spline-based hierarchical modelling of death counts,YES
274,Deep learning of longitudinal mammogram examinations for breast cancer risk prediction,YES
